MountID,MountName,MountNation,MountType,NumberOfLaunchers,MagazineSize,LauncherSource
dct-unknown,DCT (Unknown),,Fixed,1,1,
dct-mkiv,DCT Mark IV,britain,Fixed,1,1,http://www.navweaps.com/Weapons/WAMBR_ASW.php#Mark_IV
dct-mki,DCT Mark I,britain,Fixed,1,1,http://www.navweaps.com/Weapons/WAMBR_ASW.php#Mark_I_and_Mark_II_Thornycroft
dct-mk6-mk8,DCT Mark 6 (K-Gun),usa,Fixed,1,1,http://www.navweaps.com/Weapons/WAMUS_ASW.php#Marks_6_and_9
dcr-unknown,DCR (Unknown),,Fixed,1,,
dcr-mk6-mk8,DCR Mark 6,usa,Fixed,1,6,http://www.navweaps.com/Weapons/WAMUS_ASW.php#Mark_62
dcr-mk3-mk8,DCR Mark 3,usa,Fixed,1,9,http://www.navweaps.com/Weapons/WAMUS_ASW.php#Mark_32
622-tt-hull,Unknown 622mm Hull Mount Torpedo Tube,_,Fixed,1,1,
610-tt-tripple-jpn,610mm Tripple (Japan),japan,Mount,3,1,
610-tt-quad-jpn,610mm Quad (Japan),japan,Mount,4,1,
610-tt-hull,Unknown 610mm Hull Mount Torpedo Tube,_,Fixed,1,1,
610-tt-dual-jpn,610mm Dual (Japan),japan,Mount,2,1,
600-tt-hull,Unknown 600mm Hull Mount Torpedo Tube,_,Fixed,1,1,
533-tt-twin,Unknown 533mm Quad Mount Torpedo Tube,_,Mount,2,1,
533-tt-tripple-uk,533mm Tripple (Britain),britain,Mount,3,1,
533-tt-tripple,Unknown 533mm Quad Mount Torpedo Tube,_,Mount,3,1,
533-tt-single-uk,533mm Single (Britain),britain,Mount,1,1,
533-tt-quad-uk,533mm Quad (Britain),britain,Mount,4,1,
533-tt-quad,Unknown 533mm Quad Mount Torpedo Tube,_,Mount,4,1,
533-tt-mk15-quint,533mm Mark 15 Quintuple Tubes,usa,Mount,5,1,https://en.wikipedia.org/wiki/Mark_15_torpedo
533-tt-hull,Unknown 533mm Hull Mount Torpedo Tube,_,Fixed,1,1,
533-tt-dual-uk,533mm Dual (Britain),britain,Mount,2,1,
533-tt-dual-jpn,533mm Dual (Japan),japan,Mount,2,1,
500-tt-single-ger,500mm Single (Germany),germany,Mount,1,1,
500-tt-hull,Unknown 500mm Hull Mount Torpedo Tube,_,Fixed,1,1,
500-tt-dual-ger,500mm Dual (Germany),germany,Mount,2,1,
450-tt-single-uk,450mm Single (Britain),britain,Mount,1,1,
450-tt-hull,Unknown 450mm Hull Mount Torpedo Tube,_,Fixed,1,1,
406-tt-hull,Unknown 406mm Hull Mount Torpedo Tube,_,Fixed,1,1,
400-tt-hull,Unknown 400mm Hull Mount Torpedo Tube,_,Fixed,1,1,
381-tt-hull,Unknown 381mm Hull Mount Torpedo Tube,_,Fixed,1,1,
380-tt-hull,Unknown 380mm Hull Mount Torpedo Tube,_,Fixed,1,1,
360-tt-hull,Unknown 360mm Hull Mount Torpedo Tube,_,Fixed,1,1,
356-tt-single-uk,356mm Single (Britain),britain,Mount,1,1,
356-tt-hull,Unknown 356mm Hull Mount Torpedo Tube,_,Fixed,1,1,
350-tt-hull,Unknown 350mm Hull Mount Torpedo Tube,_,Fixed,1,1,
178-up,"7"" UP Launcher",britain,Mount,20,1,https://en.wikipedia.org/wiki/Unrotated_Projectile#7-inch_rocket
